what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1633075522138
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1633075522139
started,bundle,com.altera.sbtgui.integration,11.0.0.208,"com.altera.sbtgui.integration",1633075522139
started,bundle,com.altera.sbtgui.project,11.0.0.208,"com.altera.sbtgui.project",1633075522139
started,bundle,com.altera.sbtgui.ui,11.0.0.208,"com.altera.sbtgui.ui",1633075522140
started,bundle,com.altera.systemconsole,11.0.0.208,"com.altera.systemconsole",1633075522140
started,bundle,com.altera.utilities,11.0.0.208,"com.altera.utilities",1633075522140
os,sysinfo,,,"win32",1633075522141
arch,sysinfo,,,"x86",1633075522141
ws,sysinfo,,,"win32",1633075522141
locale,sysinfo,,,"fr_FR",1633075522141
processors,sysinfo,,,"8",1633075522141
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1633075522141
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1633075522141
java.specification.name,sysinfo,,,"Java Platform API Specification",1633075522141
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1633075522141
java.specification.version,sysinfo,,,"1.6",1633075522141
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1633075522141
java.version,sysinfo,,,"1.6.0_23",1633075522141
java.vm.info,sysinfo,,,"mixed mode",1633075522141
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1633075522141
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1633075522141
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1633075522141
java.vm.specification.version,sysinfo,,,"1.0",1633075522141
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1633075522141
java.vm.version,sysinfo,,,"19.0-b09",1633075522141
started,bundle,com.altera.sbtgui.launch,11.0.0.208,"com.altera.sbtgui.launch",1633075523845
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1633075527154
started,bundle,org.eclipse.compare.core,3.5.100.I20100526-0800,"org.eclipse.compare.core",1633075527492
opened,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1633075527513
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1633075527569
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1633075533599
started,bundle,com.altera.sbtgui.core,11.0.0.208,"com.altera.sbtgui.core",1633075533761
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1633075533793
started,bundle,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui",1633075536020
started,bundle,org.eclipse.cdt.debug.core,7.0.0.201009141542,"org.eclipse.cdt.debug.core",1633075536039
started,bundle,org.eclipse.cdt.debug.ui,7.0.0.201009141542,"org.eclipse.cdt.debug.ui",1633075536041
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1633075538850
opened,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1633075538920
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1633075543747
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1633075545519
started,bundle,org.eclipse.cdt.launch,6.1.0.201009141542,"org.eclipse.cdt.launch",1633075545535
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1633075545546
opened,view,com.altera.sbtgui.launch,11.0.0.208,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1633075551079
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.0.201009141542,"org.eclipse.cdt.debug.mi.ui",1633075551380
started,bundle,org.eclipse.cdt.dsf,2.1.0.201009141542,"org.eclipse.cdt.dsf",1633075551384
started,bundle,org.eclipse.cdt.dsf.gdb,3.0.0.201009141542,"org.eclipse.cdt.dsf.gdb",1633075551384
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.1.0.201009141542,"org.eclipse.cdt.dsf.gdb.ui",1633075551385
started,bundle,org.eclipse.cdt.debug.mi.core,7.0.1.201009141542,"org.eclipse.cdt.debug.mi.core",1633075551389
activated,view,com.altera.sbtgui.launch,11.0.0.208,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1633075567674
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1633076798042
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1633076802688
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1633076804927
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1633076806046
error,log,,,"The system console model is invalid. Cannot launch.",1633076816123
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1633076816163
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1633076821022
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1633076825588
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1633076833231
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1633076840328
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1633076842770
started,bundle,com.altera.debug.cdi.gdb.plugin,11.0.0.208,"com.altera.debug.cdi.gdb.plugin",1633076854521
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1633076854569
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1633076854613
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1633076867179
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1633076867339
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1633076867352
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1633076875939
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1633076878410
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.debug",1633076879579
activated,view,com.altera.sbtgui.launch,11.0.0.208,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1633076883479
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1633076887750
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1633076899515
started,bundle,org.eclipse.cdt.dsf.ui,2.1.1.201009141542,"org.eclipse.cdt.dsf.ui",1633076899759
opened,view,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.DebugView",1633076899786
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1633076907138
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1633076920709
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1633076927886
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1633076930011
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1633076931611
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1633076935244
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1633076937602
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1633076938731
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1633076938771
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1633076940377
